,Club,League,Nation,Position,Wage,Age,Apps,Caps,Total Apps
83,Liverpool,Premier League,BRA,Forward,"9,360,000",30,414,55,469
84,Chelsea,Premier League,ARG,Midfilder,"9,360,000",21,71,2,73
85,Man City,Premier League,ENG,Defender,"9,100,000",32,400,68,468
86,Tottenham,Premier League,ARG,Defender,"9,100,000",24,131,11,142
87,Man City,Premier League,POR,Defender,"9,100,000",25,214,37,251
88,Tottenham,Premier League,BRA,Forward,"9,100,000",25,241,36,277
89,PSG,Ligue 1 Uber Eats,MAR,Defender,"8,924,000",23,167,51,218
90,Juventus,Serie A,FRA,Midfilder,"8,845,000",29,281,91,372
91,Chelsea,Premier League,GAB,Forward,"8,840,000",33,445,73,518
92,Man UFC,Premier League,ENG,Defender,"8,840,000",27,212,21,233
93,Man UFC,Premier League,DEN,Midfilder,"8,840,000",30,399,115,514
94,Man UFC,Premier League,SWE,Defender,"8,840,000",28,334,52,386
95,Borussia Dortmund,Bundesliga,GER,Defender,"8,621,000",27,234,40,274
96,RB Leipzig,Bundesliga,GER,Midfilder,"8,598,000",26,283,53,336
97,Borussia Dortmund,Bundesliga,BEL,Defender,"8,598,000",30,324,56,380
98,Borussia Dortmund,Bundesliga,GER,Defender,"8,598,000",33,435,76,511
99,PSG,Ligue 1 Uber Eats,FRA,Defender,"8,598,000",27,159,28,187
100,Borussia Dortmund,Bundesliga,GER,Forward,"8,598,000",33,390,48,438
101,Man City,Premier League,GER,Midfilder,"8,580,000",31,320,59,379
102,Liverpool,Premier League,SCO,Defender,"8,320,000",28,337,59,396
103,Man City,Premier League,ESP,Defender,"8,320,000",26,246,33,279
104,Arsenal,Premier League,GHA,Midfilder,"8,320,000",29,281,40,321
105,Man City,Premier League,ENG,Midfilder,"8,320,000",26,221,23,244
106,Newcastle,Premier League,BRA,Midfilder,"8,320,000",24,135,8,143
107,Leicester,Premier League,ENG,Forward,"8,320,000",35,518,26,544
108,Liverpool,Premier League,ENG,Defender,"8,320,000",23,168,17,185
109,A. Madrid,La Liga,NED,Forward,"8,290,000",28,291,79,370
110,Barcelona,La Liga,FRA,Defender,"8,190,000",23,155,11,166
111,A. Madrid,La Liga,ESP,Forward,"8,151,000",29,388,56,444
112,Chelsea,Premier League,POR,Forward,"8,082,000",22,142,22,164
