,Club,League,Nation,Position,Wage,Age,Apps,Caps,Total Apps
817,Fiorentina,Serie A,CIV,Forward,"1,914,000",24,193,14,207
818,Lazio,Serie A,ALG,Defender,"1,914,000",26,129,12,141
819,Real San Sebastian,La Liga,ESP,Goalkeeper,"1,898,000",27,226,0,226
820,SV Werder,Bundesliga,CZE,Goalkeeper,"1,896,000",30,267,14,281
821,SV Werder,Bundesliga,GER,Midfilder,"1,896,000",28,274,0,274
822,Mainz 05,Bundesliga,ESP,Defender,"1,892,000",25,209,0,209
823,Troyes,Ligue 1 Uber Eats,POR,Midfilder,"1,892,000",26,181,2,183
824,Salento,Serie A,CRO,Defender,"1,892,000",24,101,5,106
825,1. FC Koln,Bundesliga,SWE,Forward,"1,892,000",31,334,9,343
826,Borussia M'gladbach,Bundesliga,JPN,Defender,"1,892,000",25,125,12,137
827,A. Bilbao,La Liga,ESP,Midfilder,"1,890,000",29,408,2,410
828,Real Hispalis,La Liga,ESP,Forward,"1,889,000",29,324,0,324
829,Real San Sebastian,La Liga,JPN,Midfilder,"1,881,000",21,157,18,175
830,Parthenope,Serie A,CMR,Midfilder,"1,879,000",26,203,42,245
831,Fiorentina,Serie A,FRA,Forward,"1,879,000",24,184,4,188
832,Fiorentina,Serie A,BRA,Forward,"1,879,000",24,144,0,144
833,Udinese,Serie A,FRA,Forward,"1,871,000",29,324,10,334
834,Eintracht Frankfurt,Bundesliga,SUI,Midfilder,"1,868,000",25,203,30,233
835,AS Monaco,Ligue 1 Uber Eats,SEN,Defender,"1,857,000",23,118,24,142
836,LOSC,Ligue 1 Uber Eats,CAN,Forward,"1,857,000",22,141,32,173
837,LOSC,Ligue 1 Uber Eats,ALG,Forward,"1,856,000",25,128,19,147
838,Benfica,Primiera Liga,BRA,Midfilder,"1,854,000",25,144,7,151
839,Cadiz,La Liga,ARG,Midfilder,"1,835,000",29,231,0,231
840,OGC Nice,Ligue 1 Uber Eats,FRA,Forward,"1,834,000",28,271,0,271
841,Bournemouth,Premier League,ENG,Midfilder,"1,820,000",25,221,1,222
842,Leicester,Premier League,WAL,Goalkeeper,"1,820,000",29,79,26,105
843,Newcastle,Premier League,SWE,Defender,"1,820,000",28,230,42,272
844,Bournemouth,Premier League,ENG,Defender,"1,820,000",23,135,0,135
845,Newcastle,Premier League,ENG,Defender,"1,820,000",27,265,0,265
846,Rennes,Ligue 1 Uber Eats,WAL,Defender,"1,820,000",24,85,28,113
847,Leeds,Premier League,ENG,Defender,"1,820,000",31,458,0,458
848,Fulham,Premier League,NED,Defender,"1,820,000",26,188,13,201
849,Nottm Forest,Premier League,ENG,Defender,"1,820,000",27,240,0,240
850,Bournemouth,Premier League,WAL,Midfilder,"1,820,000",25,113,21,134
851,Brentford,Premier League,ENG,Midfilder,"1,820,000",21,121,0,121
852,Brentford,Premier League,NGA,Midfilder,"1,820,000",24,119,7,126
853,Aston Villa,Premier League,SWE,Goalkeeper,"1,820,000",32,243,60,303
854,Fulham,Premier League,JAM,Defender,"1,820,000",29,326,16,342
855,Bournemouth,Premier League,SCO,Midfilder,"1,820,000",27,249,31,280
856,Wolves,Premier League,FRA,Defender,"1,820,000",21,68,0,68
857,Bournemouth,Premier League,ENG,Defender,"1,820,000",29,221,0,221
858,Leeds,Premier League,SCO,Defender,"1,820,000",31,321,14,335
859,Brighton,Premier League,SCO,Midfilder,"1,820,000",21,36,15,51
860,Everton,Premier League,BEL,Defender,"1,820,000",21,63,1,64
861,Tottenham,Premier League,ENG,Defender,"1,820,000",23,23,0,23
862,Bournemouth,Premier League,WAL,Defender,"1,820,000",24,121,32,153
863,AS Monaco,Ligue 1 Uber Eats,FRA,Defender,"1,820,000",23,132,0,132
864,Brest,Ligue 1 Uber Eats,FRA,Midfilder,"1,820,000",29,257,0,257
865,Man UFC,Premier League,POR,Defender,"1,820,000",23,99,5,104
866,Brentford,Premier League,SCO,Defender,"1,820,000",20,76,4,80
867,Spezia,Serie A,WAL,Defender,"1,820,000",21,71,36,107
868,Aston Villa,Premier League,COL,Forward,"1,820,000",18,74,3,77
869,Brentford,Premier League,ENG,Midfilder,"1,820,000",23,102,0,102
870,Fulham,Premier League,USA,Defender,"1,820,000",34,427,46,473
871,Real Hispalis,La Liga,ESP,Midfilder,"1,815,000",41,715,51,766
872,Real San Sebastian,La Liga,FRA,Defender,"1,810,000",25,191,0,191
873,Rennes,Ligue 1 Uber Eats,FRA,Midfilder,"1,802,000",28,275,0,275
874,PSG,Ligue 1 Uber Eats,POR,Defender,"1,798,000",20,74,15,89
875,RB Leipzig,Bundesliga,SVN,Midfilder,"1,797,000",31,344,28,372
876,Mainz 05,Bundesliga,FRA,Forward,"1,795,000",28,247,0,247
877,Hertha Berlin,Bundesliga,MNE,Forward,"1,793,000",32,330,63,393
878,Mallorca,La Liga,SWE,Defender,"1,793,000",28,257,46,303
879,Bologna,Serie A,ITA,Forward,"1,767,000",30,352,3,355
880,Bologna,Serie A,ITA,Midfilder,"1,767,000",31,352,9,361
881,Spezia,Serie A,UZB,Forward,"1,763,000",27,217,57,274
882,Cremonese,Serie A,ITA,Midfilder,"1,759,000",27,217,0,217
883,Milan,Serie A,BIH,Midfilder,"1,759,000",28,264,27,291
884,Bologna,Serie A,ITA,Midfilder,"1,759,000",25,207,2,209
885,Montpellier,Ligue 1 Uber Eats,FRA,Midfilder,"1,759,000",30,310,0,310
886,Spezia,Serie A,SWE,Midfilder,"1,754,000",33,363,66,429
887,FC Porto,Primiera Liga,POR,Midfilder,"1,742,000",27,240,7,247
888,FC Porto,Primiera Liga,ESP,Defender,"1,732,000",35,350,0,350
889,Girona,La Liga,UKR,Midfilder,"1,726,000",24,156,40,196
890,Hoffenheim,Bundesliga,CZE,Defender,"1,724,000",30,306,48,354
891,Hoffenheim,Bundesliga,DEN,Defender,"1,724,000",26,225,11,236
892,Eintracht Frankfurt,Bundesliga,GER,Midfilder,"1,724,000",31,250,0,250
893,Sampdoria,Serie A,FRA,Midfilder,"1,724,000",23,89,0,89
894,R. Madrid,La Liga,ESP,Defender,"1,724,000",25,125,0,125
895,Real San Sebastian,La Liga,ESP,Midfilder,"1,722,000",25,214,4,218
896,VfL Wolfsburg,Bundesliga,AUT,Midfilder,"1,719,000",21,139,1,140
897,Borussia M'gladbach,Bundesliga,AUT,Forward,"1,719,000",23,156,0,156
898,Borussia M'gladbach,Bundesliga,GER,Defender,"1,719,000",19,36,0,36
899,VfL Wolfsburg,Bundesliga,GER,Defender,"1,719,000",24,143,4,147
900,VfL Wolfsburg,Bundesliga,DEN,Forward,"1,719,000",23,102,15,117
901,Mainz 05,Bundesliga,SUI,Defender,"1,719,000",26,225,22,247
902,Borussia Dortmund,Bundesliga,SUI,Goalkeeper,"1,719,000",24,162,3,165
903,Hoffenheim,Bundesliga,DEN,Midfilder,"1,718,000",23,89,6,95
904,Benfica,Primiera Liga,ARG,Defender,"1,711,000",34,351,91,442
905,RB Leipzig,Bundesliga,HUN,Midfilder,"1,695,000",21,133,24,157
906,AS Monaco,Ligue 1 Uber Eats,BRA,Defender,"1,693,000",25,155,0,155
907,SV Werder,Bundesliga,GER,Midfilder,"1,681,000",29,266,0,266
908,SV Werder,Bundesliga,GER,Defender,"1,681,000",28,218,0,218
909,Fulham,Premier League,COD,Midfilder,"1,664,000",30,261,32,293
910,Capitoline,Serie A,BRA,Defender,"1,655,000",23,92,0,92
911,Milan,Serie A,DEN,Defender,"1,655,000",33,385,119,504
912,Milan,Serie A,SWE,Forward,"1,655,000",40,633,121,754
913,Parthenope,Serie A,URU,Defender,"1,655,000",24,121,6,127
914,Bologna,Serie A,CHI,Defender,"1,655,000",35,436,152,588
915,Parthenope,Serie A,MKD,Midfilder,"1,655,000",22,177,42,219
916,Atalanta,Serie A,NED,Midfilder,"1,655,000",24,175,9,184
917,Fiorentina,Serie A,MAR,Midfilder,"1,655,000",26,181,36,217
918,Fiorentina,Serie A,BRA,Defender,"1,655,000",23,116,0,116
919,Famalicao,Primiera Liga,GNB,Midfilder,"1,650,000",30,211,21,232
920,Vigo,La Liga,GHA,Defender,"1,634,000",26,194,8,202
921,Espanyol,La Liga,ESP,Midfilder,"1,632,000",28,367,0,367
922,Vigo,La Liga,SUI,Forward,"1,632,000",30,287,86,373
923,Sevilla,La Liga,ARG,Defender,"1,627,000",30,343,41,384
924,Sporting CP,Primiera Liga,URU,Defender,"1,623,000",31,317,47,364
925,Udinese,Serie A,NGA,Forward,"1,612,000",26,169,4,173
926,LOSC,Ligue 1 Uber Eats,FRA,Midfilder,"1,610,000",32,441,0,441
927,Bologna,Serie A,CRO,Midfilder,"1,598,000",24,170,1,171
928,Villarreal,La Liga,FRA,Midfilder,"1,596,000",34,418,7,425
929,Sassuolo,Serie A,ITA,Goalkeeper,"1,595,000",35,552,0,552
930,AJ Auxerre,Ligue 1 Uber Eats,ROU,Goalkeeper,"1,595,000",25,81,0,81
931,Empoli,Serie A,ROU,Midfilder,"1,595,000",26,252,41,293
932,Lazio,Serie A,ESP,Defender,"1,595,000",29,214,0,214
933,Salernitana,Serie A,ITA,Midfilder,"1,595,000",24,177,0,177
934,Brianza,Serie A,ITA,Goalkeeper,"1,595,000",28,252,2,254
935,Lazio,Serie A,ITA,Defender,"1,595,000",23,70,1,71
936,Torino,Serie A,ITA,Midfilder,"1,595,000",21,97,0,97
937,Atalanta,Serie A,NED,Midfilder,"1,595,000",31,388,27,415
938,Juventus,Serie A,ITA,Defender,"1,595,000",24,171,1,172
939,Salernitana,Serie A,ARG,Defender,"1,595,000",35,383,10,393
940,Lazio,Serie A,ITA,Defender,"1,595,000",24,132,0,132
941,Lazio,Serie A,ITA,Goalkeeper,"1,595,000",28,232,0,232
942,Juventus,Serie A,ITA,Midfilder,"1,595,000",21,42,0,42
943,Bologna,Serie A,ITA,Defender,"1,595,000",26,135,0,135
944,Torino,Serie A,ALB,Goalkeeper,"1,595,000",33,279,73,352
945,Torino,Serie A,NGA,Defender,"1,595,000",25,165,29,194
946,Parthenope,Serie A,BRA,Defender,"1,595,000",31,220,4,224
947,Atalanta,Serie A,ITA,Defender,"1,595,000",31,360,8,368
948,Empoli,Serie A,ITA,Defender,"1,595,000",32,232,0,232
949,Brianza,Serie A,ITA,Midfilder,"1,595,000",25,204,14,218
950,Atalanta,Serie A,CRO,Midfilder,"1,595,000",27,258,40,298
951,Milan,Serie A,BRA,Forward,"1,595,000",31,214,0,214
952,Milan,Serie A,ITA,Midfilder,"1,595,000",23,117,1,118
953,Brianza,Serie A,ITA,Midfilder,"1,595,000",20,46,0,46
954,FC Porto,Primiera Liga,POR,Goalkeeper,"1,585,000",22,94,5,99
955,RC Lens,Ligue 1 Uber Eats,CIV,Midfilder,"1,583,000",27,239,6,245
956,OM,Ligue 1 Uber Eats,CHI,Forward,"1,582,000",33,521,152,673
957,OM,Ligue 1 Uber Eats,POR,Forward,"1,582,000",22,56,0,56
958,Bologna,Serie A,NED,Midfilder,"1,579,000",25,144,1,145
959,FC Porto,Primiera Liga,IRN,Forward,"1,574,000",30,248,58,306
960,Getafe,La Liga,ESP,Midfilder,"1,572,000",24,120,1,121
961,A. Madrid,La Liga,MOZ,Defender,"1,562,000",28,150,35,185
962,Nottm Forest,Premier League,ENG,Defender,"1,560,000",31,403,0,403
963,Brentford,Premier League,IRN,Forward,"1,560,000",28,263,31,294
964,Leicester,Premier League,ENG,Goalkeeper,"1,560,000",32,444,0,444
965,Bournemouth,Premier League,ENG,Defender,"1,560,000",31,351,0,351
966,Southampton,Premier League,ARG,Goalkeeper,"1,560,000",40,369,5,374
967,Crystal Palace,Premier League,FRA,Midfilder,"1,560,000",20,36,0,36
968,Wolves,Premier League,IRL,Defender,"1,560,000",21,65,6,71
969,Nottm Forest,Premier League,BRA,Midfilder,"1,560,000",21,74,0,74
970,Brentford,Premier League,JAM,Defender,"1,560,000",29,360,5,365
971,Reims,Ligue 1 Uber Eats,ENG,Forward,"1,560,000",21,25,0,25
972,Crystal Palace,Premier League,ENG,Defender,"1,560,000",21,22,0,22
973,Tottenham,Premier League,SEN,Midfilder,"1,560,000",19,66,8,74
974,Chelsea,Premier League,ENG,Goalkeeper,"1,560,000",30,225,0,225
975,OM,Ligue 1 Uber Eats,POR,Defender,"1,560,000",22,72,0,72
976,West Ham,Premier League,ENG,Midfilder,"1,560,000",23,144,0,144
977,Bournemouth,Premier League,ENG,Midfilder,"1,560,000",22,62,0,62
978,Wolves,Premier League,ENG,Defender,"1,560,000",25,122,0,122
979,Southampton,Premier League,ENG,Defender,"1,560,000",24,217,0,217
980,Fulham,Premier League,USA,Defender,"1,560,000",25,164,28,192
981,West Ham,Premier League,ENG,Defender,"1,560,000",22,38,0,38
982,Liverpool,Premier League,IRL,Goalkeeper,"1,560,000",23,4,8,12
983,Newcastle,Premier League,ENG,Midfilder,"1,560,000",24,143,0,143
984,Liverpool,Premier League,ENG,Forward,"1,560,000",20,42,0,42
985,Bournemouth,Premier League,ENG,Midfilder,"1,560,000",27,225,0,225
986,OGC Nice,Ligue 1 Uber Eats,ENG,Defender,"1,560,000",28,325,0,325
987,Newcastle,Premier League,GER,Goalkeeper,"1,560,000",29,206,0,206
988,Fulham,Premier League,SCO,Midfilder,"1,560,000",31,375,2,377
989,FC Augsburg,Bundesliga,GER,Midfilder,"1,552,000",32,360,1,361
990,Eintracht Frankfurt,Bundesliga,FRA,Defender,"1,552,000",26,110,0,110
991,Benfica,Primiera Liga,BRA,Defender,"1,549,000",27,124,2,126
992,Schalke 04,Bundesliga,GER,Goalkeeper,"1,548,000",33,275,0,275
993,Torino,Serie A,SRB,Forward,"1,548,000",26,129,35,164
994,Mainz 05,Bundesliga,KOR,Midfilder,"1,548,000",30,262,63,325
995,OL,Ligue 1 Uber Eats,FRA,Forward,"1,548,000",19,54,0,54
996,1. FC Koln,Bundesliga,GER,Forward,"1,548,000",31,278,1,279
997,FC Augsburg,Bundesliga,GER,Defender,"1,548,000",34,435,0,435
998,RC Lens,Ligue 1 Uber Eats,FRA,Midfilder,"1,548,000",26,234,0,234
999,OGC Nice,Ligue 1 Uber Eats,ALG,Defender,"1,546,000",26,141,20,161
1000,Troyes,Ligue 1 Uber Eats,FRA,Midfilder,"1,546,000",24,85,0,85
1001,FC Nantes,Ligue 1 Uber Eats,NGA,Midfilder,"1,546,000",27,256,53,309
1002,Real San Sebastian,La Liga,ESP,Midfilder,"1,545,000",23,132,1,133
1003,Milan,Serie A,POR,Forward,"1,543,000",23,138,9,147
1004,Lazio,Serie A,CRO,Midfilder,"1,543,000",25,204,2,206
1005,Sevilla,La Liga,BRA,Midfilder,"1,534,000",35,393,0,393
1006,Sporting CP,Primiera Liga,ESP,Goalkeeper,"1,525,000",35,361,0,361
1007,Villarreal,La Liga,ARG,Defender,"1,505,000",24,70,15,85
1008,VfL Wolfsburg,Bundesliga,POL,Midfilder,"1,505,000",20,108,3,111
1009,Rennes,Ligue 1 Uber Eats,CRO,Midfilder,"1,503,000",24,156,8,164
1010,Benfica,Primiera Liga,NOR,Midfilder,"1,502,000",26,330,8,338
1011,Elche,La Liga,ARG,Forward,"1,482,000",25,184,0,184
1012,Real Hispalis,La Liga,ITA,Defender,"1,474,000",25,125,1,126
1013,Salernitana,Serie A,MEX,Goalkeeper,"1,473,000",37,595,128,723
1014,LOSC,Ligue 1 Uber Eats,BRA,Defender,"1,472,000",32,238,0,238
1015,Mainz 05,Bundesliga,GER,Midfilder,"1,462,000",28,248,0,248
1016,Real San Sebastian,La Liga,ESP,Defender,"1,457,000",28,229,0,229
1017,Brentford,Premier League,COD,Midfilder,"1,456,000",26,209,6,215
1018,Brentford,Premier League,GRN,Midfilder,"1,456,000",24,88,3,91
1019,Elche,La Liga,ESP,Defender,"1,444,000",25,184,0,184
1020,LOSC,Ligue 1 Uber Eats,POR,Defender,"1,444,000",38,593,50,643
1021,Benfica,Primiera Liga,POR,Forward,"1,441,000",29,293,25,318
1022,Bologna,Serie A,ITA,Defender,"1,440,000",34,405,6,411
1023,Empoli,Serie A,ALB,Defender,"1,440,000",25,137,27,164
1024,Lazio,Serie A,MNE,Defender,"1,440,000",29,311,49,360
1025,Salernitana,Serie A,ITA,Goalkeeper,"1,440,000",31,199,0,199
1026,Spezia,Serie A,GRE,Defender,"1,440,000",24,104,1,105
1027,Bologna,Serie A,POL,Goalkeeper,"1,440,000",31,286,7,293
1028,Atalanta,Serie A,ITA,Defender,"1,440,000",30,280,13,293
1029,A. Bilbao,La Liga,ESP,Midfilder,"1,438,000",20,68,0,68
1030,Getafe,La Liga,URU,Defender,"1,436,000",22,52,0,52
1031,Empoli,Serie A,ITA,Midfilder,"1,435,000",27,142,0,142
1032,Girona,La Liga,URU,Forward,"1,435,000",35,496,50,546
1033,Vallecano,La Liga,FRA,Defender,"1,435,000",31,327,0,327
1034,FC Porto,Primiera Liga,BRA,Forward,"1,423,000",22,71,0,71
1035,Schalke 04,Bundesliga,JPN,Defender,"1,419,000",34,355,119,474
1036,Villarreal,La Liga,ESP,Defender,"1,414,000",26,234,0,234
1037,Benfica,Primiera Liga,ESP,Defender,"1,412,000",26,264,0,264
1038,Tottenham,Premier League,ESP,Defender,"1,412,000",22,109,1,110
1039,Mallorca,La Liga,BIH,Defender,"1,410,000",24,100,18,118
1040,Sassuolo,Serie A,FRA,Forward,"1,405,000",23,99,0,99
1041,Real Hispalis,La Liga,ESP,Midfilder,"1,401,000",31,381,10,391
1042,FC Nantes,Ligue 1 Uber Eats,ALG,Forward,"1,393,000",30,357,11,368
1043,Fiorentina,Serie A,SRB,Forward,"1,384,000",24,175,26,201
1044,Mainz 05,Bundesliga,SUI,Defender,"1,376,000",29,315,31,346
1045,AC Ajaccio,Ligue 1 Uber Eats,MLI,Defender,"1,375,000",27,93,17,110
1046,FC Nantes,Ligue 1 Uber Eats,BRA,Defender,"1,370,000",24,70,0,70
1047,Sporting CP,Primiera Liga,POR,Midfilder,"1,356,000",24,97,2,99
1048,Udinese,Serie A,SVN,Defender,"1,354,000",23,146,31,177
1049,Sassuolo,Serie A,FRA,Forward,"1,354,000",31,321,0,321
1050,Wolves,Premier League,MLI,Midfilder,"1,345,000",21,35,0,35
1051,Hoffenheim,Bundesliga,BIH,Defender,"1,345,000",32,224,35,259
1052,Union Berlin,Bundesliga,CRO,Defender,"1,345,000",27,247,20,267
1053,Sampdoria,Serie A,ARG,Midfilder,"1,345,000",26,183,0,183
1054,Cremonese,Serie A,NGA,Forward,"1,345,000",27,205,3,208
1055,Sevilla,La Liga,ARG,Midfilder,"1,340,000",28,350,10,360
1056,Montpellier,Ligue 1 Uber Eats,FRA,Midfilder,"1,340,000",30,274,0,274
1057,SV Werder,Bundesliga,GER,Forward,"1,334,000",28,276,0,276
1058,FC Porto,Primiera Liga,BRA,Midfilder,"1,334,000",25,125,0,125
1059,Reims,Ligue 1 Uber Eats,SWE,Defender,"1,328,000",23,85,13,98
1060,Sassuolo,Serie A,ALB,Midfilder,"1,328,000",23,187,7,194
1061,Juventus,Serie A,BRA,Forward,"1,328,000",20,53,0,53
1062,Bournemouth,Premier League,URU,Defender,"1,328,000",24,92,24,116
1063,Milan,Serie A,ROU,Goalkeeper,"1,328,000",36,362,73,435
1064,Parthenope,Serie A,GEO,Forward,"1,328,000",21,113,17,130
1065,Capitoline,Serie A,CRO,Midfilder,"1,328,000",25,152,4,156
1066,Espanyol,La Liga,ESP,Midfilder,"1,323,000",28,264,1,265
1067,Bologna,Serie A,COL,Defender,"1,310,000",24,154,7,161
1068,Schalke 04,Bundesliga,CZE,Midfilder,"1,305,000",24,121,31,152
1069,Cremonese,Serie A,FRA,Midfilder,"1,301,000",28,243,0,243
1070,Valencia,La Liga,ESP,Goalkeeper,"1,300,000",31,223,0,223
1071,Chelsea,Premier League,ENG,Forward,"1,300,000",18,3,0,3
1072,Elche,La Liga,ARG,Defender,"1,300,000",33,318,32,350
1073,Man City,Premier League,ENG,Midfilder,"1,300,000",20,7,0,7
1074,Newcastle,Premier League,ENG,Midfilder,"1,300,000",22,45,0,45
1075,Bournemouth,Premier League,ZIM,Defender,"1,300,000",22,42,6,48
1076,Bournemouth,Premier League,ENG,Midfilder,"1,300,000",23,149,0,149
1077,Brighton,Premier League,ESP,Goalkeeper,"1,300,000",24,114,1,115
1078,Man UFC,Premier League,URU,Forward,"1,300,000",20,65,6,71
1079,Bournemouth,Premier League,WAL,Forward,"1,300,000",30,305,26,331
1080,Nottm Forest,Premier League,ENG,Defender,"1,300,000",25,207,0,207
1081,Liverpool,Premier League,ENG,Defender,"1,300,000",25,53,0,53
1082,Nottm Forest,Premier League,ENG,Midfilder,"1,300,000",24,196,0,196
1083,Valladolid,La Liga,BRA,Defender,"1,300,000",26,146,0,146
1084,Wolves,Premier League,POR,Forward,"1,300,000",22,44,0,44
1085,Nottm Forest,Premier League,SCO,Defender,"1,300,000",25,194,26,220
1086,Leeds,Premier League,ENG,Midfilder,"1,300,000",30,274,0,274
1087,Girona,La Liga,ARG,Goalkeeper,"1,300,000",30,116,1,117
1088,Leeds,Premier League,NED,Midfilder,"1,300,000",20,49,0,49
1089,Bournemouth,Premier League,ENG,Midfilder,"1,300,000",32,314,0,314
1090,Brighton,Premier League,ECU,Midfilder,"1,300,000",20,52,28,80
1091,Bournemouth,Premier League,IRL,Goalkeeper,"1,300,000",23,80,3,83
1092,Bournemouth,Premier League,ENG,Defender,"1,300,000",26,212,0,212
1093,Leicester,Premier League,ENG,Defender,"1,300,000",21,46,0,46
1094,Benfica,Primiera Liga,GRE,Goalkeeper,"1,298,000",28,244,27,271
1095,FC Porto,Primiera Liga,BRA,Defender,"1,298,000",29,237,0,237
1096,Capitoline,Serie A,NOR,Forward,"1,296,000",23,135,0,135
1097,Getafe,La Liga,PAR,Defender,"1,293,000",25,124,11,135
1098,BRG,Primiera Liga,POR,Midfilder,"1,293,000",27,240,9,249
1099,Hertha Berlin,Bundesliga,GER,Midfilder,"1,293,000",25,165,4,169
1100,1. FC Koln,Bundesliga,TUN,Midfilder,"1,293,000",27,218,45,263
1101,Mallorca,La Liga,ESP,Defender,"1,293,000",25,163,0,163
1102,Sampdoria,Serie A,GER,Defender,"1,292,000",28,161,0,161
1103,Mainz 05,Bundesliga,GER,Defender,"1,290,000",31,290,0,290
1104,Borussia M'gladbach,Bundesliga,GER,Midfilder,"1,290,000",31,339,2,341
1105,Mainz 05,Bundesliga,GER,Goalkeeper,"1,290,000",27,177,0,177
1106,Vigo,La Liga,ESP,Defender,"1,290,000",27,310,0,310
1107,Elche,La Liga,ESP,Midfilder,"1,290,000",29,285,0,285
1108,Mainz 05,Bundesliga,FRA,Defender,"1,290,000",25,114,0,114
1109,Hoffenheim,Bundesliga,AUT,Midfilder,"1,290,000",23,108,21,129
1110,Schalke 04,Bundesliga,GER,Forward,"1,290,000",34,427,0,427
1111,1. FC Koln,Bundesliga,GER,Forward,"1,290,000",27,258,0,258
1112,Eintracht Frankfurt,Bundesliga,FRA,Forward,"1,290,000",23,100,0,100
1113,Union Berlin,Bundesliga,SUR,Midfilder,"1,290,000",27,198,5,203
1114,Bayer 04,Bundesliga,GER,Midfilder,"1,290,000",27,247,0,247
1115,Hertha Berlin,Bundesliga,NGA,Forward,"1,290,000",24,145,8,153
1116,VfL Wolfsburg,Bundesliga,BRA,Defender,"1,290,000",27,106,0,106
1117,Borussia M'gladbach,Bundesliga,FRA,Midfilder,"1,290,000",22,47,0,47
1118,Milan,Serie A,BEL,Midfilder,"1,290,000",19,68,0,68
1119,VfL Wolfsburg,Bundesliga,FRA,Defender,"1,290,000",23,99,0,99
1120,Bayer 04,Bundesliga,NED,Defender,"1,290,000",21,76,0,76
1121,Mainz 05,Bundesliga,LUX,Midfilder,"1,290,000",22,99,39,138
1122,Schalke 04,Bundesliga,GER,Forward,"1,290,000",31,351,0,351
1123,Bayer 04,Bundesliga,NED,Defender,"1,290,000",22,89,0,89
1124,Bayer 04,Bundesliga,CIV,Defender,"1,290,000",21,81,15,96
1125,Union Berlin,Bundesliga,USA,Forward,"1,290,000",26,182,9,191
1126,Bayer 04,Bundesliga,CZE,Forward,"1,290,000",20,106,18,124
1127,VfL Wolfsburg,Bundesliga,CRO,Defender,"1,290,000",22,85,0,85
1128,Mainz 05,Bundesliga,GER,Forward,"1,290,000",22,83,0,83
1129,OGC Nice,Ligue 1 Uber Eats,BRA,Defender,"1,289,000",38,496,13,509
1130,Hertha Berlin,Bundesliga,GER,Defender,"1,289,000",30,297,7,304
1131,Bayer 04,Bundesliga,NED,Defender,"1,289,000",27,159,0,159
1132,OM,Ligue 1 Uber Eats,ARG,Defender,"1,289,000",23,66,2,68
1133,FC Nantes,Ligue 1 Uber Eats,FRA,Midfilder,"1,287,000",33,494,71,565
1134,Atalanta,Serie A,ARG,Defender,"1,276,000",32,302,0,302
1135,Bologna,Serie A,GAM,Forward,"1,276,000",23,136,27,163
1136,Empoli,Serie A,ITA,Forward,"1,276,000",35,531,2,533
1137,Empoli,Serie A,SUI,Midfilder,"1,276,000",26,200,0,200
1138,Cremonese,Serie A,ROU,Defender,"1,276,000",32,243,75,318
1139,Atalanta,Serie A,NED,Defender,"1,276,000",28,240,13,253
1140,Verona,Serie A,FRA,Forward,"1,276,000",27,218,0,218
1141,Spezia,Serie A,POL,Goalkeeper,"1,276,000",25,179,2,181
1142,Parthenope,Serie A,ITA,Goalkeeper,"1,276,000",27,139,1,140
1143,Empoli,Serie A,SCO,Midfilder,"1,276,000",26,212,0,212
1144,Atalanta,Serie A,ALB,Defender,"1,276,000",29,331,48,379
1145,Inter,Serie A,GER,Defender,"1,276,000",28,238,13,251
1146,Sampdoria,Serie A,ITA,Goalkeeper,"1,276,000",25,178,0,178
1147,Milan,Serie A,ITA,Defender,"1,276,000",22,54,0,54
1148,LOSC,Ligue 1 Uber Eats,FRA,Goalkeeper,"1,273,000",35,513,1,514
1149,Udinese,Serie A,ARG,Defender,"1,268,000",22,65,0,65
1150,Udinese,Serie A,SVN,Midfilder,"1,268,000",24,193,22,215
1151,Leicester,Premier League,BRA,Midfilder,"1,266,000",22,90,0,90
1152,Fulham,Premier League,ISR,Forward,"1,266,000",23,143,31,174
1153,AS Monaco,Ligue 1 Uber Eats,FRA,Defender,"1,256,000",29,244,1,245
1154,Valencia,La Liga,GUI,Midfilder,"1,255,000",19,52,8,60
1155,Sevilla,La Liga,SEN,Midfilder,"1,238,000",23,104,11,115
1156,LOSC,Ligue 1 Uber Eats,FRA,Forward,"1,238,000",26,219,0,219
1157,Rennes,Ligue 1 Uber Eats,FRA,Midfilder,"1,237,000",29,229,0,229
1158,FC Porto,Primiera Liga,SRB,Midfilder,"1,235,000",26,164,17,181
1159,Schalke 04,Bundesliga,COL,Defender,"1,233,000",29,189,9,198
1160,SV Werder,Bundesliga,GER,Defender,"1,233,000",27,212,2,214
1161,Villarreal,La Liga,ESP,Midfilder,"1,232,000",35,523,0,523
1162,Villarreal,La Liga,ESP,Forward,"1,232,000",19,80,4,84
1163,Inter,Serie A,ALB,Midfilder,"1,224,000",20,27,4,31
1164,Salento,Serie A,ITA,Defender,"1,224,000",25,220,0,220
1165,Real Hispalis,La Liga,CHI,Goalkeeper,"1,222,000",39,448,144,592
1166,Sporting CP,Primiera Liga,NED,Defender,"1,219,000",25,169,0,169
1167,VfL Wolfsburg,Bundesliga,EGY,Forward,"1,216,000",23,106,13,119
1168,Sampdoria,Serie A,COL,Defender,"1,216,000",30,293,32,325
1169,Sampdoria,Serie A,ITA,Forward,"1,216,000",30,325,11,336
1170,Hertha Berlin,Bundesliga,GER,Defender,"1,204,000",25,158,0,158
1171,Mallorca,La Liga,ARG,Midfilder,"1,201,000",31,262,2,264
1172,Bologna,Serie A,FRA,Defender,"1,198,000",30,165,0,165
